Relative_File_Path,Number_of_Chains
Training/Lx50_BD01_C0_nematic_00720000.png,16
Training/Kappa100_BD05_C2_nematic_10650000.png,726
Training/Lx150_BD0359_C1_nematic_00600000.png,359
Training/Kappa300_BD07_C1_nematic_03075000.png,1016
Training/Lx100_BD07_C2_nematic_00765000.png,452
Training/Lx50_BD03_C1_nematic_04050000.png,48
Training/Kappa30_BD05_C5_nematic_04575000.png,726
Training/Kappa200_BD03_C0_nematic_29475000.png,435
Training/Kappa250_BD01_C0_nematic_12825000.png,145
Training/Kappa30_BD05_C9_nematic_13950000.png,726
Training/Lx100_BD05_C2_nematic_00360000.png,323
Training/Lx50_BD05_C2_nematic_04635000.png,81
Training/Kappa100_BD05_C1_nematic_19950000.png,726
Training/Kappa150_BD07_C1_nematic_10050000.png,1016
Training/Kappa200_BD01_C2_nematic_90525000.png,145
Training/Kappa100_BD07_C1_nematic_05775000.png,1016
Training/Kappa300_BD01_C0_nematic_157500000.png,145
Training/Kappa500_BD05_C0_nematic_28875000.png,726
Training/Kappa150_BD07_C1_nematic_07275000.png,1016
Training/Lx150_BD020_C0_nematic_01305000.png,20
Training/Kappa250_BD01_C2_nematic_17700000.png,145
Training/Kappa500_BD03_C2_nematic_09900000.png,435
Training/Lx50_BD03_C0_nematic_05505000.png,48
Training/Lx50_BD07_C2_nematic_02040000.png,113
Training/Lx100_BD03_C0_nematic_01770000.png,194
Training/Lx50_BD03_C0_nematic_00435000.png,48
Training/Kappa200_BD07_C0_nematic_10275000.png,1016
Training/Lx150_BD0253_C1_nematic_01515000.png,253
Training/Lx150_BD0247_C2_nematic_03195000.png,247
Training/Kappa150_BD03_C1_nematic_66825000.png,435
Training/Lx150_BD035_C1_nematic_10575000.png,35
Training/Kappa300_BD07_C2_nematic_01875000.png,1016
Training/Kappa30_BD03_C1_nematic_75238855.png,435
Training/Kappa300_BD03_C1_nematic_07275000.png,435
Training/Kappa30_BD01_C1_nematic_66525000.png,145
Training/Lx100_BD01_C0_nematic_07170000.png,65
Training/Kappa70_BD07_C0_nematic_16125000.png,1016
Training/Lx100_BD07_C0_nematic_00735000.png,452
Training/Kappa200_BD01_C0_nematic_73725000.png,145
Training/Kappa70_BD05_C2_nematic_57304057.png,726
Training/Kappa70_BD07_C1_nematic_23769627.png,1016
Training/Kappa30_BD07_C4_nematic_18900000.png,1016
Training/Lx50_BD05_C2_nematic_02850000.png,81
Training/Lx100_BD01_C1_nematic_03210000.png,65
Training/Lx150_BD0130_C1_nematic_02475000.png,130
Training/Lx150_BD0247_C0_nematic_02310000.png,247
Training/Lx150_BD020_C2_nematic_23745000.png,20
Training/Lx150_BD0198_C1_nematic_02715000.png,198
Training/Kappa250_BD03_C1_nematic_72300000.png,435
Training/Kappa30_BD05_C0_nematic_31125000.png,726
Training/Lx100_BD07_C0_nematic_00375000.png,452
Training/Lx150_BD035_C1_nematic_01500000.png,35
Training/Kappa200_BD05_C0_nematic_17775000.png,726
Training/Lx150_BD0333_C0_nematic_00015000.png,333
Training/Kappa100_BD01_C3_nematic_40650000.png,145
Training/Kappa70_BD01_C1_nematic_60375000.png,145
Training/Kappa300_BD05_C1_nematic_13950000.png,726
Training/Kappa150_BD01_C2_nematic_124425000.png,145
Training/Kappa200_BD01_C2_nematic_176250000.png,145
Training/Lx100_BD05_C0_nematic_01020000.png,323
Training/Kappa100_BD05_C0_nematic_08325000.png,726
Training/Kappa70_BD03_C1_nematic_56100000.png,435
Training/Lx100_BD05_C0_nematic_01110000.png,323
Training/Kappa1000_BD01_C2_nematic_55425000.png,145
Training/Lx150_BD035_C0_nematic_00300000.png,35
Training/Kappa100_BD01_C4_nematic_168675000.png,145
Training/Lx50_BD05_C2_nematic_03135000.png,81
Training/Lx150_BD0253_C0_nematic_01935000.png,253
Training/Kappa500_BD05_C2_nematic_16950000.png,726
Training/Kappa100_BD05_C0_nematic_14400000.png,726
Training/Kappa1000_BD03_C0_nematic_00600000.png,435
Training/Kappa70_BD01_C5_nematic_13050000.png,145
Training/Lx150_BD083_C2_nematic_03825000.png,83
Training/Kappa250_BD05_C2_nematic_06260601.png,726
Training/Kappa300_BD05_C2_nematic_10875000.png,726
Training/Lx150_BD0247_C2_nematic_01215000.png,247
Training/Kappa70_BD01_C3_nematic_60675000.png,145
Training/Lx100_BD07_C0_nematic_00330000.png,452
Training/Lx150_BD0359_C0_nematic_00870000.png,359
Training/Kappa70_BD05_C2_nematic_65219080.png,726
Training/Kappa150_BD07_C0_nematic_08100000.png,1016
Training/Lx150_BD0247_C2_nematic_03030000.png,247
Training/Lx100_BD07_C1_nematic_00645000.png,452
Training/Kappa30_BD07_C4_nematic_14475000.png,1016
Training/Kappa500_BD01_C2_nematic_195675000.png,145
Training/Kappa300_BD05_C1_nematic_01950000.png,726
Training/Kappa70_BD03_C2_nematic_28425000.png,435
Training/Kappa100_BD05_C1_nematic_07950000.png,726
Training/Kappa1000_BD03_C0_nematic_13725000.png,435
Training/Kappa200_BD05_C1_nematic_30900000.png,726
Training/Lx150_BD0130_C0_nematic_00765000.png,130
Training/Lx150_BD0333_C2_nematic_00840000.png,333
Training/Kappa1000_BD03_C1_nematic_55275000.png,435
Training/Lx50_BD07_C0_nematic_02175000.png,113
Training/Kappa250_BD03_C0_nematic_26400000.png,435
Training/Lx150_BD035_C0_nematic_11250000.png,35
Training/Lx150_BD057_C2_nematic_01425000.png,57
Training/Kappa300_BD01_C0_nematic_211950000.png,145
Training/Kappa200_BD05_C1_nematic_31125000.png,726
Training/Kappa30_BD01_C5_nematic_59700000.png,145
Training/Kappa100_BD03_C1_nematic_33900000.png,435
Training/Kappa30_BD07_C2_nematic_15075000.png,1016
Training/Lx50_BD05_C1_nematic_01650000.png,81
Training/Kappa30_BD05_C7_nematic_15300000.png,726
Training/Kappa200_BD07_C0_nematic_02550000.png,1016
Training/Kappa300_BD01_C2_nematic_197925000.png,145
Training/Lx50_BD05_C2_nematic_03480000.png,81
Training/Kappa250_BD01_C1_nematic_150300000.png,145
Training/Lx50_BD01_C0_nematic_00495000.png,16
Training/Kappa150_BD05_C2_nematic_27675000.png,726
Training/Lx150_BD057_C0_nematic_03300000.png,57
Training/Kappa300_BD07_C1_nematic_08700000.png,1016
Training/Kappa150_BD03_C0_nematic_16125000.png,435
Training/Kappa200_BD07_C2_nematic_11025000.png,1016
Training/Kappa200_BD05_C1_nematic_34350000.png,726
Training/Kappa150_BD07_C0_nematic_20400000.png,1016
Training/Lx150_BD0130_C2_nematic_02790000.png,130
Training/Kappa100_BD01_C4_nematic_186000000.png,145
Training/Kappa100_BD07_C0_nematic_10800000.png,1016
Training/Kappa30_BD05_C6_nematic_03075000.png,726
Training/Kappa30_BD01_C5_nematic_165825000.png,145
Training/Kappa150_BD03_C2_nematic_72000000.png,435
Training/Kappa70_BD01_C0_nematic_168075000.png,145
Training/Kappa250_BD07_C1_nematic_08400000.png,1016
Training/Lx50_BD01_C0_nematic_21060000.png,16
Training/Kappa100_BD05_C1_nematic_32925000.png,726
Training/Kappa250_BD05_C1_nematic_16610178.png,726
Training/Lx150_BD0247_C2_nematic_03000000.png,247
Training/Kappa30_BD05_C6_nematic_04875000.png,726
Training/Kappa300_BD03_C0_nematic_10200000.png,435
Training/Kappa30_BD03_C1_nematic_82738855.png,435
Training/Kappa30_BD05_C2_nematic_34828512.png,726
Training/Kappa70_BD01_C0_nematic_141825000.png,145
Training/Kappa100_BD03_C2_nematic_25125000.png,435
Training/Kappa150_BD07_C1_nematic_14175000.png,1016
Training/Kappa70_BD01_C1_nematic_30000000.png,145
Training/Lx150_BD0253_C1_nematic_02370000.png,253
Training/Kappa200_BD07_C0_nematic_03675000.png,1016
Training/Kappa70_BD01_C2_nematic_183450000.png,145
Training/Kappa30_BD01_C5_nematic_03825000.png,145
Training/Kappa30_BD05_C2_nematic_25050000.png,726
Training/Kappa300_BD05_C0_nematic_24300000.png,726
Training/Kappa300_BD03_C2_nematic_47925000.png,435
Training/Kappa150_BD03_C1_nematic_07650000.png,435
Training/Kappa500_BD01_C2_nematic_46950000.png,145
Training/Kappa100_BD07_C1_nematic_09750000.png,1016
Training/Kappa70_BD01_C5_nematic_09075000.png,145
Training/Lx150_BD0359_C0_nematic_01350000.png,359
Training/Lx150_BD0253_C1_nematic_01995000.png,253
Training/Kappa150_BD03_C0_nematic_30975000.png,435
Training/Lx150_BD0359_C0_nematic_02010000.png,359
Training/Kappa70_BD01_C1_nematic_175350000.png,145
Training/Kappa100_BD05_C0_nematic_27450000.png,726
Training/Lx50_BD05_C2_nematic_01665000.png,81
Training/Kappa100_BD03_C0_nematic_40875000.png,435
Training/Kappa30_BD05_C9_nematic_22950000.png,726
Training/Kappa30_BD07_C0_nematic_19625971.png,1016
Training/Lx100_BD05_C0_nematic_00015000.png,323
Training/Kappa30_BD03_C0_nematic_93781888.png,435
Training/Kappa200_BD03_C1_nematic_08625000.png,435
Training/Kappa30_BD07_C3_nematic_20899233.png,1016
Training/Kappa500_BD03_C0_nematic_21300000.png,435
Training/Kappa70_BD01_C4_nematic_101175000.png,145
Training/Kappa100_BD03_C2_nematic_52800000.png,435
Training/Kappa200_BD07_C2_nematic_14925000.png,1016
Training/Kappa200_BD01_C0_nematic_15000000.png,145
Training/Kappa30_BD05_C6_nematic_20775000.png,726
Training/Kappa70_BD01_C5_nematic_135600000.png,145
Training/Kappa30_BD05_C0_nematic_49495525.png,726
Training/Lx50_BD07_C1_nematic_02310000.png,113
Training/Lx50_BD03_C2_nematic_05550000.png,48
Training/Lx150_BD0359_C1_nematic_02055000.png,359
Training/Kappa250_BD07_C2_nematic_05625000.png,1016
Training/Kappa70_BD01_C0_nematic_107250000.png,145
Training/Lx100_BD01_C1_nematic_02325000.png,65
Training/Lx50_BD07_C0_nematic_00345000.png,113
Training/Lx100_BD07_C2_nematic_00255000.png,452
Training/Kappa300_BD03_C0_nematic_39150000.png,435
Training/Kappa30_BD03_C1_nematic_56025000.png,435
Training/Kappa30_BD05_C5_nematic_20775000.png,726
Training/Kappa200_BD03_C2_nematic_00675000.png,435
Training/Kappa30_BD05_C1_nematic_46099379.png,726
Training/Lx100_BD07_C2_nematic_00465000.png,452
Training/Kappa30_BD07_C3_nematic_01800000.png,1016
Training/Lx50_BD07_C0_nematic_00150000.png,113
Training/Lx150_BD020_C1_nematic_12210000.png,20
Training/Kappa300_BD03_C1_nematic_21450000.png,435
Training/Kappa70_BD01_C4_nematic_171450000.png,145
Training/Lx100_BD05_C0_nematic_00720000.png,323
Training/Kappa30_BD07_C4_nematic_25212921.png,1016
Training/Kappa30_BD05_C6_nematic_20400000.png,726
Training/Lx50_BD01_C1_nematic_21840000.png,16
Training/Lx150_BD0247_C0_nematic_03315000.png,247
Training/Kappa30_BD05_C7_nematic_26175000.png,726
Training/Kappa100_BD05_C2_nematic_24450000.png,726
Training/Lx150_BD0253_C2_nematic_00870000.png,253
